País de residencia;Tipo de dato;Año;Mes;Total
Resto de Europa;Dato base;2020;7;179860
Resto del Mundo;Dato base;2020;7;73625
Rusia;Dato base;2020;7;.
Suiza;Dato base;2020;7;82714
Alemania;Dato base;2020;8;296447
Bélgica;Dato base;2020;8;118043
Estados Unidos de América;Dato base;2020;8;12656
Francia;Dato base;2020;8;865789
Irlanda;Dato base;2020;8;25569
Italia;Dato base;2020;8;136812
Países Bajos;Dato base;2020;8;151213
Países Nórdicos;Dato base;2020;8;47819
Portugal;Dato base;2020;8;111022
Reino Unido;Dato base;2020;8;254236
Resto América;Dato base;2020;8;56681
Resto de Europa;Dato base;2020;8;235307
Resto del Mundo;Dato base;2020;8;78960
Rusia;Dato base;2020;8;.
Suiza;Dato base;2020;8;47293
Alemania;Dato base;2020;9;88109
Bélgica;Dato base;2020;9;39491
Estados Unidos de América;Dato base;2020;9;9849
Francia;Dato base;2020;9;390674
Irlanda;Dato base;2020;9;15930
Italia;Dato base;2020;9;59535
Países Bajos;Dato base;2020;9;33789
Países Nórdicos;Dato base;2020;9;35833
Portugal;Dato base;2020;9;70442
Reino Unido;Dato base;2020;9;162489
Resto América;Dato base;2020;9;51620
Resto de Europa;Dato base;2020;9;130892
Resto del Mundo;Dato base;2020;9;28355
Rusia;Dato base;2020;9;4000
Suiza;Dato base;2020;9;17860
Alemania;Dato base;2020;10;83329
Bélgica;Dato base;2020;10;39997
Estados Unidos de América;Dato base;2020;10;8450
Francia;Dato base;2020;10;381401
Irlanda;Dato base;2020;10;15056
Italia;Dato base;2020;10;37782
Países Bajos;Dato base;2020;10;35237
Países Nórdicos;Dato base;2020;10;51090
Portugal;Dato base;2020;10;43784
Reino Unido;Dato base;2020;10;148009
Resto América;Dato base;2020;10;31584
Resto de Europa;Dato base;2020;10;98050
Resto del Mundo;Dato base;2020;10;27153
Rusia;Dato base;2020;10;4563
Suiza;Dato base;2020;10;15290
Alemania;Dato base;2020;11;76410
Bélgica;Dato base;2020;11;27709
Estados Unidos de América;Dato base;2020;11;4752
Francia;Dato base;2020;11;61360
Irlanda;Dato base;2020;11;8448
Italia;Dato base;2020;11;21115
Países Bajos;Dato base;2020;11;18346
Países Nórdicos;Dato base;2020;11;18036
Portugal;Dato base;2020;11;26201
Reino Unido;Dato base;2020;11;85351
Resto América;Dato base;2020;11;17359
Resto de Europa;Dato base;2020;11;57742
Resto del Mundo;Dato base;2020;11;18568
